handle,label,chain,networkId,realPoints,stepsReturned,serviceCount,firstRealAt,firstRealUsd,lastRealAt,lastRealUsd,spanDays,chainLatestUsd,shareOfHoldings,chainPricedShare,chainReasonInAllChainsAnswer,status,drawable,usablePoints,drawingReason,answerRefused,pointRefusalReasons,trackedSince,basisOfRealPoints,chainsHeldByTrader,failed
gmgn_0x08b91ebe,,robinhood,4663,12,28,28,2026-08-25T00:00:00.000Z,0.00,2026-09-10T16:00:00.000Z,7.67,17,7.67,0.2246,0.4286,,warming,false,12,short_coverage,,no_prices x16,2026-09-10T16:00:00.000Z,rebuilt x11; sampled x1,2,
gmgn_0x1f6281c8,,(all chains),,2,28,28,2026-09-06T00:00:00.000Z,1871.88,2026-09-10T16:00:00.000Z,25.40,5,25.40,,,,ready,false,2,too_few_points,,chains_unrebuildable x26,2026-09-10T16:00:00.000Z,rebuilt x1; sampled x1,3,
gmgn_0x1f6281c8,,bsc,56,3,28,28,2026-09-06T00:00:00.000Z,768.34,2026-09-10T16:00:00.000Z,19.90,5,19.90,0.7835,1,,warming,false,3,short_coverage,,(no reason given) x25,2026-09-10T16:00:00.000Z,rebuilt x2; sampled x1,3,
gmgn_0x1f6281c8,,robinhood,4663,28,28,28,2026-08-14T00:00:00.000Z,13.25,2026-09-10T16:00:00.000Z,4.45,28,4.45,0.1752,1,,warming,false,28,short_coverage,,,2026-09-10T16:00:00.000Z,rebuilt x27; sampled x1,3,
gmgn_0x1f6281c8,,ethereum,1,6,28,28,2026-08-15T00:00:00.000Z,43.62,2026-09-10T16:00:00.000Z,1.05,27,1.05,0.0413,0.5,,warming,false,6,short_coverage,,no_prices x11; (no reason given) x11,2026-09-10T16:00:00.000Z,rebuilt x5; sampled x1,3,
gmgn_0x886bf37b,,(all chains),,2,28,28,2026-08-30T00:00:00.000Z,4.85,2026-09-10T16:00:00.000Z,24.33,12,24.33,,,,ready,false,2,too_few_points,,chains_unrebuildable x26,2026-09-10T16:00:00.000Z,rebuilt x1; sampled x1,1,
gmgn_0x886bf37b,,robinhood,4663,25,28,28,2026-08-14T00:00:00.000Z,1.49,2026-09-10T16:00:00.000Z,24.33,28,24.33,1.0000,1,,warming,false,25,short_coverage,,no_prices x3,2026-09-10T16:00:00.000Z,rebuilt x24; sampled x1,1,
gmgn_8fmq3kz6cn,,(all chains),,28,28,28,2026-08-14T00:00:00.000Z,16.82,2026-09-10T16:00:00.000Z,22.16,28,22.16,,,,warming,false,28,short_coverage,,,2026-09-10T16:00:00.000Z,rebuilt x27; sampled x1,1,
gmgn_8fmq3kz6cn,,solana,1399811149,28,28,28,2026-08-14T00:00:00.000Z,16.82,2026-09-10T16:00:00.000Z,22.16,28,22.16,1.0000,1,,warming,false,28,short_coverage,,,2026-09-10T16:00:00.000Z,rebuilt x27; sampled x1,1,
derekbrown,Derek Brown,(all chains),,1,28,28,2026-09-10T16:00:00.000Z,21.47,2026-09-10T16:00:00.000Z,21.47,0,21.47,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T16:00:00.000Z,sampled x1,1,
